datetime,portfolio_value,cash,positions,return
2023-11-27 08:30:00-05:00,100000.0,100000.0,[],
2023-11-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-11-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-11-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-11-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-11-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-01 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-02 09:29:00-05:00,100000.0,100000.0,[],0.0
2023-12-04 08:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-09 09:29:00-05:00,100000.0,100000.0,[],0.0
2023-12-11 08:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-14 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-15 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-16 09:29:00-05:00,100000.0,100000.0,[],0.0
2023-12-18 08:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-21 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-23 09:29:00-05:00,100000.0,100000.0,[],0.0
2023-12-26 08:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-26 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-27 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-28 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-29 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-30 09:30:00-05:00,100000.0,100000.0,[],0.0
2023-12-30 09:29:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 08:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-06 09:29:00-05:00,100000.0,100000.0,[],0.0
2024-01-08 08:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-11 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-12 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-13 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-13 09:29:00-05:00,100000.0,100000.0,[],0.0
2024-01-16 08:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-16 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-17 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-18 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-19 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-20 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-20 09:29:00-05:00,100000.0,100000.0,[],0.0
2024-01-22 08:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-23 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-24 09:30:00-05:00,100000.0,100000.0,[],0.0
2024-01-25 09:30:00-05:00,100000.0,100000.0,[],0.0
